iter	Passed	Remaining
0	28	28089
1	65	32574
2	114	38088
3	162	40480
4	209	41668
5	246	40865
6	295	41988
7	344	42709
8	391	43163
9	440	43644
10	488	43883
11	536	44146
12	585	44471
13	634	44683
14	682	44847
15	731	44997
16	780	45126
17	829	45235
18	878	45334
19	909	44583
20	954	44478
21	988	43956
22	1020	43364
23	1052	42785
24	1082	42232
25	1130	42351
26	1174	42332
27	1212	42096
28	1248	41816
29	1289	41701
30	1337	41814
31	1385	41918
32	1433	42014
33	1481	42081
34	1529	42171
35	1577	42252
36	1626	42324
37	1678	42491
38	1726	42550
39	1774	42595
40	1823	42646
41	1869	42636
42	1917	42667
43	1965	42697
44	2012	42718
45	2058	42694
46	2105	42694
47	2155	42742
48	2203	42766
49	2252	42800
50	2307	42946
51	2356	42963
52	2405	42983
53	2454	42995
54	2502	42994
55	2549	42975
56	2589	42844
57	2638	42852
58	2686	42848
59	2734	42843
60	2781	42822
61	2830	42818
62	2876	42788
63	2925	42780
64	2972	42764
65	3019	42735
66	3067	42722
67	3112	42654
68	3154	42562
69	3193	42426
70	3233	42308
71	3284	42334
72	3332	42324
73	3379	42292
74	3428	42279
75	3476	42261
76	3524	42245
77	3557	42051
78	3603	42011
79	3657	42061
80	3705	42044
81	3754	42028
82	3802	42013
83	3851	41999
84	3895	41938
85	3934	41817
86	3969	41654
87	4009	41555
88	4050	41456
89	4094	41398
90	4129	41244
91	4159	41053
92	4194	40904
93	4228	40759
94	4278	40758
95	4327	40751
96	4376	40738
97	4424	40720
98	4473	40715
99	4522	40702
100	4570	40680
101	4619	40667
102	4667	40649
103	4716	40635
104	4763	40599
105	4809	40561
106	4863	40591
107	4896	40441
108	4928	40283
109	4958	40120
110	5011	40141
111	5058	40107
112	5089	39953
113	5132	39891
114	5172	39802
115	5206	39674
116	5246	39596
117	5292	39562
118	5338	39520
119	5384	39486
120	5430	39450
121	5460	39298
122	5502	39230
123	5551	39221
124	5600	39205
125	5656	39239
126	5703	39207
127	5749	39171
128	5798	39154
129	5839	39079
130	5884	39037
131	5935	39030
132	5986	39021
133	6024	38936
134	6076	38934
135	6126	38918
136	6175	38902
137	6223	38872
138	6273	38860
139	6322	38840
140	6372	38819
141	6419	38787
142	6468	38762
143	6518	38748
144	6569	38736
145	6618	38711
146	6667	38689
147	6716	38663
148	6765	38640
149	6803	38550
150	6842	38470
151	6865	38304
152	6910	38258
153	6961	38241
154	7010	38220
155	7057	38181
156	7107	38161
157	7156	38136
158	7204	38106
159	7249	38062
160	7279	37937
161	7311	37820
162	7345	37719
163	7377	37605
164	7408	37491
165	7455	37456
166	7510	37462
167	7540	37342
168	7571	37229
169	7615	37180
170	7663	37150
171	7700	37068
172	7745	37025
173	7791	36986
174	7841	36965
175	7893	36958
176	7944	36938
177	7978	36844
178	8017	36771
179	8062	36729
180	8114	36715
181	8167	36709
182	8219	36693
183	8269	36675
184	8320	36656
185	8370	36633
186	8419	36606
187	8454	36514
188	8493	36443
189	8527	36353
190	8570	36300
191	8604	36209
192	8637	36114
193	8669	36018
194	8706	35942
195	8750	35893
196	8794	35845
197	8832	35776
198	8863	35675
199	8910	35641
200	8945	35559
201	8994	35531
202	9042	35499
203	9077	35420
204	9113	35342
205	9157	35297
206	9206	35269
207	9255	35243
208	9302	35208
209	9338	35131
210	9378	35068
211	9426	35039
212	9474	35007
213	9530	35006
214	9579	34975
215	9628	34949
216	9676	34917
217	9727	34892
218	9775	34860
219	9824	34831
220	9866	34778
221	9900	34696
222	9948	34662
223	9997	34635
224	10042	34592
225	10083	34534
226	10131	34500
227	10184	34483
228	10220	34409
229	10259	34346
230	10290	34257
231	10321	34166
232	10355	34089
233	10403	34056
234	10452	34027
235	10501	33996
236	10549	33963
237	10589	33905
238	10633	33858
239	10683	33831
240	10732	33800
241	10781	33770
242	10830	33738
243	10880	33711
244	10928	33678
245	10978	33649
246	11031	33629
247	11080	33598
248	11128	33564
249	11178	33534
250	11227	33502
251	11276	33471
252	11319	33421
253	11350	33337
254	11381	33252
255	11414	33173
256	11445	33090
257	11488	33040
258	11535	33001
259	11584	32971
260	11633	32939
261	11683	32908
262	11733	32879
263	11782	32847
264	11838	32835
265	11882	32788
266	11927	32745
267	11977	32715
268	12043	32726
269	12093	32696
270	12142	32663
271	12193	32635
272	12242	32601
273	12291	32567
274	12345	32547
275	12397	32520
276	12443	32479
277	12522	32523
278	12559	32455
279	12592	32380
280	12624	32303
281	12655	32223
282	12699	32174
283	12746	32136
284	12788	32082
285	12841	32058
286	12885	32010
287	12914	31927
288	12948	31854
289	12979	31778
290	13011	31702
291	13050	31643
292	13096	31602
293	13144	31565
294	13192	31528
295	13248	31509
296	13295	31470
297	13343	31432
298	13379	31368
299	13410	31291
300	13457	31251
301	13505	31214
302	13552	31175
303	13600	31138
304	13647	31099
305	13694	31059
306	13742	31021
307	13789	30981
308	13844	30959
309	13896	30929
310	13938	30880
311	13986	30841
312	14032	30800
313	14077	30754
314	14126	30719
315	14173	30679
316	14220	30639
317	14267	30598
318	14314	30557
319	14360	30516
320	14407	30476
321	14442	30410
322	14480	30350
323	14509	30273
324	14540	30200
325	14575	30133
326	14612	30073
327	14658	30031
328	14704	29990
329	14751	29950
330	14807	29928
331	14855	29889
332	14888	29822
333	14917	29746
334	14954	29686
335	14990	29624
336	15019	29549
337	15048	29474
338	15078	29400
339	15107	29326
340	15140	29260
341	15173	29194
342	15211	29137
343	15241	29064
344	15270	28991
345	15300	28920
346	15329	28848
347	15358	28775
348	15388	28705
349	15418	28634
350	15452	28571
351	15482	28501
352	15513	28433
353	15558	28391
354	15605	28354
355	15655	28319
356	15702	28282
357	15749	28242
358	15797	28206
359	15844	28168
360	15891	28129
361	15954	28118
362	15986	28053
363	16025	28001
364	16059	27938
365	16088	27869
366	16119	27803
367	16149	27735
368	16180	27669
369	16213	27606
370	16243	27538
371	16273	27472
372	16304	27407
373	16334	27340
374	16364	27274
375	16395	27209
376	16425	27143
377	16457	27080
378	16488	27016
379	16519	26952
380	16549	26887
381	16579	26822
382	16609	26757
383	16640	26693
384	16670	26630
385	16709	26579
386	16741	26517
387	16772	26455
388	16804	26394
389	16837	26336
390	16868	26274
391	16899	26210
392	16929	26147
393	16960	26086
394	16994	26028
395	17024	25966
396	17055	25906
397	17091	25851
398	17122	25791
399	17153	25730
400	17184	25670
401	17215	25609
402	17248	25551
403	17279	25491
404	17309	25430
405	17340	25369
406	17370	25309
407	17416	25270
408	17467	25240
409	17529	25225
410	17570	25180
411	17610	25133
412	17643	25077
413	17690	25039
414	17738	25005
415	17782	24963
416	17814	24906
417	17845	24846
418	17876	24787
419	17910	24732
420	17941	24674
421	17976	24622
422	18007	24563
423	18040	24507
424	18086	24470
425	18116	24409
426	18151	24357
427	18183	24301
428	18218	24248
429	18247	24188
430	18295	24153
431	18342	24117
432	18389	24081
433	18437	24044
434	18491	24017
435	18531	23972
436	18579	23936
437	18626	23899
438	18673	23863
439	18721	23826
440	18768	23789
441	18815	23752
442	18862	23716
443	18909	23678
444	18956	23642
445	18997	23598
446	19044	23560
447	19091	23523
448	19138	23485
449	19185	23448
450	19231	23410
451	19278	23373
452	19326	23337
453	19369	23294
454	19403	23242
455	19434	23185
456	19467	23131
457	19514	23093
458	19562	23057
459	19609	23019
460	19656	22982
461	19704	22946
462	19751	22908
463	19799	22871
464	19836	22822
465	19870	22769
466	19914	22729
467	19963	22693
468	20002	22647
469	20035	22593
470	20081	22554
471	20126	22514
472	20176	22480
473	20227	22446
474	20276	22410
475	20323	22373
476	20372	22337
477	20422	22302
478	20472	22267
479	20521	22231
480	20569	22194
481	20618	22158
482	20655	22109
483	20687	22055
